cluster_name,ra,dec,R_sun,R_sun_err,r_c,r_hl,r_hm
NGC_288,13.188500,-26.582611,8.99,0.09,3.50,5.84,8.56
Whiting_1,30.737499,-3.252778,30.59,1.17,1.88,9.42,16.53
NGC_1261,48.067543,-55.216225,16.40,0.19,1.05,3.25,4.86
AM_1,58.759586,-49.615276,118.91,3.40,6.92,14.79,20.32
Eridanus,66.185608,-21.186781,84.68,2.89,9.23,13.64,18.83
NGC_1851,78.528160,-40.046555,11.95,0.13,0.14,1.75,3.16
NGC_1904,81.045837,-24.524416,13.08,0.18,0.33,2.58,4.33
NGC_7089,323.362579,-0.823250,11.69,0.11,0.71,3.05,4.76
#ra(deg),dec(deg),R_sun(kpc),R_sun_err(kpc),r_c(pc),r_hl(pc),r_hm(pc)
#r_c  = Core radius using the Spitzer (1987) definition
#r_hl = Projected half-light radius
#r_hm = Half-mass radius (3D)